code;naam;lat;long;eigenaar;bouwjaar;begindatum;locatie;totaal
VIS;Visserij;51.0444948203;3.7391542246;Stad Gent;2021;2021-07-06T22:00:00Z;Visserij;8843816
DAN;Dampoort-Noord;51.057498397;3.7405700991;Stad Gent;2024;;Dampoort-Noord;2011457
GRO;Groendreef;51.0648424989;3.7003413758;Stad Gent;2018;2018-09-30T22:00:00Z;Groendreef;12426115
COU;Coupure Links;51.0535479913;3.709189839;Stad Gent;2021;2021-02-28T23:00:00Z;Coupure-Links;12082543
ZUI;Zuidparklaan;51.0396305819;3.7362914114;Stad Gent;2018;2018-09-30T22:00:00Z;Zuidparklaan;5310814
LEM;Luc Lemiengrepad;51.0538753186;3.7400003481;Stad Gent;2024;;Luc Lemiengrepad;0
HAV;Louisa d'Havébrug;51.0357672285;3.733398408;Stad Gent;2024;;Louisa d'Havébrug (F400);3476033
DRO;Spoorwegbrug Drongen;51.0427090201;3.6771201675;Stad Gent;2024;;Spoorwegbrug Drongen (F6);664181
BAT;Bataviabrug;51.0646242081;3.7349893102;Stad Gent;2018;2018-12-12T23:00:00Z;Bataviabrug;3829142
ISA;Isabellakaai;51.0397150416;3.7289986793;Stad Gent;2021;2021-12-07T23:00:00Z;Isabellakaai;3809805
BIK;Bijlokekaai;51.0441705486;3.7202256561;Stad Gent;2021;2021-07-31T22:00:00Z;Bijlokekaai;1435615
DAZ;Dampoort-Zuid;51.0568965584;3.74034833;Stad Gent;2018;2018-12-14T23:00:00Z;Dampoort-Zuid;7845625
GAA;Gaardeniersbrug;51.0687377376;3.7163102363;Stad Gent;2019;2020-07-14T22:00:00Z;Gaardeniersbrug;6538538
SAS;Marie Sassepad;51.0361318044;3.7335090892;Stad Gent;2024;;Marie Sassepad (F400);2488787
